Latitude (deg),Longitude (deg)
13.08270000,80.27070000
11.74800000,79.77140000
10.76720000,79.84490000
10.78700000,79.13780000
10.38330000,78.80010000
9.36390000,78.83950000
8.76420000,78.13480000
8.49670000,78.11940000
8.08830000,77.53850000
8.17390000,77.25760000
8.95980000,77.31610000
10.01040000,77.47680000
10.45030000,77.51610000
10.65880000,77.00890000
11.01680000,76.95580000
11.34100000,77.71720000
11.66430000,78.14600000
12.51860000,78.21370000
12.91650000,79.13250000
13.08270000,80.27070000
