Latitude (deg),Longitude (deg)
30.26613998,74.76120758
30.24530983,74.78205872
30.06270218,75.11986542
28.64468575,75.55973816
30.86936188,75.18031311
31.34081841,75.38569641
30.50122833,74.93664551
29.67730904,74.18708038
29.57533073,74.28624725
29.91346932,74.45934296
29.61496353,74.91590881
30.03455544,75.49189758
30.1870594,75.50964356
30.21667099,74.82192993
30.25376701,74.88352966
30.2258606,74.81932068
30.24813461,74.78524017
30.25642586,74.77423096
30.26278496,74.76579285
30.26696587,74.76020813
