Threat Symbol Code, Threat Description, Threat Symbol
42,Symbol-1,
43,Symbol-2,
44,Symbol-3,
45,Symbol-4,
46,Symbol-5,
47,Symbol-6,
49,Symbol-7,
50,Symbol-8,
51,Symbol-9,
52,Symbol-10,
53,Symbol-11,
54,Symbol-12,
55,Symbol-13,
56,Symbol-14,
57,Symbol-15,
58,Symbol-16,
59,Symbol-17,
60,Symbol-18,
61,Symbol-19,
62,Symbol-20,
63,Symbol-21,
1,Sym,0
2,Sym - 1,1
3,Sym - 2,2
4,Sym - 3,3
5,Sym - 4,4
6,Sym - 5,5
7,Sym - 6,6
8,Sym - 7,7
9,Sym - 8,8
10,Sym - 9,9
11,Sym - 10,+
12,Sym - 11,-
13,Sym - 13,.
14,Sym - 14, 
15,Sym - 15,A
16,Sym - 16,B
17,Sym - 17,C
18,Sym - 18,D
19,Sym - 19,E
20,Sym - 20,F
21,Sym - 21,G
22,Sym - 22,H
23,Sym - 23,I
24,Sym - 24,J
25,Sym - 25,K
26,Sym - 26,L
27,Sym - 27,M
28,Sym - 28,N
29,Sym - 29,O
30,Sym - 30,P
31,Sym - 31,Q
32,Sym - 32,R
33,Sym - 33,S
34,Sym - 34,T
35,Sym - 35,U
36,Sym - 36,V
37,Sym - 37,W
38,Sym - 38,X
39,Sym - 39,Y
40,Sym - 40,Z
41,Sym - 41,41
48,Sym - 48,48
64,Sym - 64,64
65,Sym - 65,65
66,Sym - 66,66
67,Sym - 67,67
68,Sym - 68,68
69,Sym - 69,69
70,Sym - 70,70
71,Sym - 71,71
72,Sym - 72,72
73,Sym - 73,73
74,Sym - 74,74
75,Sym - 75,75
76,Sym - 76,76
77,Sym - 77,77
78,Sym - 78,78
79,Sym - 79,79
80,Sym - 80,80
81,Sym - 81,81
82,Sym - 82,82
83,Sym - 83,83
84,Sym - 84,84
85,Sym - 85,85
86,Sym - 86,86
87,Sym - 87,87
88,Sym - 88,88
89,Sym - 89,89
90,Sym - 90,90
91,Sym - 91,91
92,Sym - 92,92
93,Sym - 93,93
94,Sym - 94,94
95,Sym - 95,95
96,Sym - 96,96
97,Sym - 97,97
98,Sym - 98,98
99,Sym - 99,99
